Product Name,Category,Location,MRP,Blinkit Price,Zepto Price,Instamart Price,Discount (%),Margin (%),Festive/Seasonal Impact,Delivery Distance (km),Shelf Life (days),Min Stock,Max Stock,Final Price,Customer Sentiment,Weight (g/ml),Weight Unit,Order Year,Order Month,Order Day,Order Hour,Order Time Category
Parle-G,Biscuits,Baner,45,39.29,37.98,38.39,14,22,,1.7,144,19,71,38.55,Positive,,Unknown,2024,12,8,21,Night
Atta (),Grocery,Kothrud,70,64.47,65.82,64.97,7,17,Summer,1.6,275,10,133,65.09,Neutral,1000.0,g,2024,3,2,21,Night
Amul Milk (),Dairy,Baner,56,46.88,47.31,46.82,17,24,Holi,3.8,11,18,100,47.0,Positive,1.0,l,2024,10,23,8,Morning
Dal (),Grocery,Viman Nagar,90,77.3,77.14,76.96,15,23,Winter,3.4,198,32,158,77.13,Neutral,500.0,g,2024,9,17,3,Night
Sugar (),Grocery,Aundh,58,52.74,51.94,51.88,10,10,Diwali,3.4,199,24,60,52.19,Negative,1000.0,g,2024,7,13,3,Night
Salt (),Grocery,Baner,20,17.07,16.88,17.51,14,23,Exam Season,1.6,279,40,49,17.15,Negative,500.0,g,2024,4,11,8,Morning
Bananas (),Fruits,Aundh,61,50.99,51.3,50.56,17,12,Exam Season,2.4,8,35,39,50.95,Neutral,1.0,dozen,2024,3,3,11,Morning
Parle-G,Biscuits,Aundh,45,37.72,36.37,37.66,17,22,Diwali,2.7,98,37,104,37.25,Positive,,Unknown,2024,10,15,4,Night
Wheat (),Grocery,Wakad,80,64.8,65.36,65.22,19,27,Winter,4.9,225,37,174,65.13,Positive,1000.0,g,2024,10,22,0,Night
Apples (),Fruits,Baner,157,148.82,150.02,149.33,5,16,Exam Season,3.1,14,37,50,149.39,Neutral,1000.0,g,2024,6,29,11,Morning
Tomatoes (),Vegetables,Baner,47,37.52,36.7,37.8,20,21,,2.0,10,28,35,37.34,Negative,1000.0,g,2024,7,29,18,Evening
Coffee (),Grocery,Aundh,200,167.83,167.89,167.6,16,11,Summer,3.4,189,44,146,167.77,Negative,200.0,g,2024,4,6,13,Afternoon
Atta (),Grocery,Baner,70,63.65,63.69,64.39,8,18,Diwali,2.4,356,49,112,63.91,Negative,1000.0,g,2024,12,22,19,Evening
Oreo Biscuit,Biscuits,Wakad,99,92.21,92.81,92.35,6,30,Holi,4.2,108,42,63,92.46,Positive,,Unknown,2024,5,11,4,Night
Tomatoes (),Vegetables,Viman Nagar,47,44.02,45.14,45.09,5,12,Holi,4.3,5,22,169,44.75,Negative,1000.0,g,2024,4,11,8,Morning
Tomatoes (),Vegetables,Wakad,47,41.75,40.46,41.51,12,16,Diwali,4.0,7,21,92,41.24,Negative,1000.0,g,2024,7,13,18,Evening
Saffola Oil (),Grocery,Wakad,176,158.76,157.95,158.21,10,10,Holi,4.1,213,27,96,158.31,Neutral,1.0,l,2024,6,28,14,Afternoon
Parle-G,Biscuits,Baner,45,38.64,39.25,38.73,12,19,Exam Season,3.9,165,39,190,38.87,Neutral,,Unknown,2024,6,12,9,Morning
Parle-G,Biscuits,Wakad,45,36.86,35.03,35.68,20,21,Holi,4.3,119,41,95,35.86,Positive,,Unknown,2024,7,25,16,Afternoon
Atta (),Grocery,Viman Nagar,70,57.16,58.8,59.04,17,30,Summer,2.9,201,23,159,58.33,Negative,1000.0,g,2024,5,23,9,Morning
Tomatoes (),Vegetables,Kothrud,47,39.85,39.88,39.26,15,28,Winter,1.7,9,37,144,39.66,Negative,1000.0,g,2024,10,24,1,Night
Sugar (),Grocery,Kothrud,58,47.38,46.15,46.48,20,22,Diwali,3.4,204,35,91,46.67,Positive,1000.0,g,2024,3,23,1,Night
Wheat (),Grocery,Wakad,80,72.73,72.53,72.97,10,22,Summer,3.2,235,36,190,72.74,Negative,1000.0,g,2024,4,18,7,Morning
Parle-G,Biscuits,Kothrud,45,41.73,41.77,41.67,8,30,Monsoon,2.3,128,35,93,41.72,Neutral,,Unknown,2024,11,29,14,Afternoon
Apples (),Fruits,Viman Nagar,157,126.74,128.02,126.48,19,15,Winter,2.6,12,39,84,127.08,Positive,1000.0,g,2024,9,22,9,Morning
Wheat (),Grocery,Viman Nagar,80,66.55,65.42,65.87,18,29,Diwali,1.9,338,42,63,65.95,Neutral,1000.0,g,2024,8,20,20,Evening
Bananas (),Fruits,Baner,61,53.01,53.93,54.05,12,21,Summer,1.1,13,45,176,53.66,Neutral,1.0,dozen,2024,12,1,7,Morning
Salt (),Grocery,Aundh,20,17.25,16.28,16.74,16,16,Holi,2.3,196,11,64,16.76,Negative,500.0,g,2024,8,12,7,Morning
Bingo Mad Angles,Snacks,Viman Nagar,20,17.18,16.79,17.15,19,26,Exam Season,3.6,114,20,83,17.04,Neutral,,Unknown,2024,6,28,12,Afternoon
Rice (),Grocery,Baner,100,94.36,93.81,94.04,6,25,Monsoon,4.4,286,26,164,94.07,Positive,1000.0,g,2024,2,16,23,Night
Oranges (),Fruits,Baner,87,70.26,68.72,70.22,20,11,Holi,2.5,14,37,69,69.73,Neutral,1000.0,g,2024,2,10,5,Morning
Dal (),Grocery,Kothrud,90,83.24,82.53,83.11,8,14,Winter,4.7,233,26,51,82.96,Negative,500.0,g,2024,5,8,4,Night
Rice (),Grocery,Viman Nagar,100,80.51,80.51,79.68,20,24,Monsoon,2.3,359,26,172,80.23,Negative,1000.0,g,2024,4,16,21,Night
Saffola Oil (),Grocery,Aundh,176,150.41,152.12,151.49,14,19,Exam Season,2.2,220,46,125,151.34,Neutral,1.0,l,2024,7,3,13,Afternoon
Bingo Mad Angles,Snacks,Kothrud,20,17.49,17.78,17.97,9,30,Exam Season,1.9,179,29,67,17.75,Positive,,Unknown,2024,8,14,21,Night
Sugar (),Grocery,Kothrud,58,48.09,48.94,49.08,17,30,Summer,1.6,260,43,139,48.7,Neutral,1000.0,g,2024,5,26,19,Evening
Govardhan Paneer (),Dairy,Aundh,109,86.55,87.99,86.23,20,12,Winter,2.4,8,24,63,86.92,Negative,200.0,g,2024,4,18,2,Night
Wheat (),Grocery,Aundh,80,63.92,64.83,64.81,20,26,Summer,4.6,231,33,42,64.52,Neutral,1000.0,g,2024,6,3,18,Evening
Wheat (),Grocery,Kothrud,80,73.94,75.32,75.09,7,27,Diwali,4.5,294,46,180,74.78,Positive,1000.0,g,2024,4,6,7,Morning
Tea (),Grocery,Kothrud,150,135.38,135.3,134.49,10,24,Winter,1.7,248,45,117,135.06,Neutral,250.0,g,2024,2,5,11,Morning
Salt (),Grocery,Baner,20,16.32,16.66,17.37,14,28,Exam Season,2.9,317,13,95,16.78,Positive,500.0,g,2024,11,2,19,Evening
Rice (),Grocery,Aundh,100,91.88,91.95,91.2,8,28,Holi,1.9,256,46,49,91.68,Negative,1000.0,g,2024,8,13,21,Night
Bananas (),Fruits,Baner,61,49.96,48.8,50.02,19,29,Monsoon,4.0,11,36,190,49.59,Positive,1.0,dozen,2024,4,15,3,Night
Govardhan Paneer (),Dairy,Aundh,109,87.23,88.1,86.8,20,27,Summer,2.0,15,45,174,87.38,Negative,200.0,g,2024,4,29,22,Night
Bingo Mad Angles,Snacks,Baner,20,17.98,17.64,18.95,10,25,Winter,3.0,46,37,115,18.19,Positive,,Unknown,2024,2,6,17,Evening
Bingo Mad Angles,Snacks,Kothrud,20,17.39,17.22,17.46,10,19,Monsoon,3.0,165,40,67,17.36,Negative,,Unknown,2024,9,22,22,Night
Tomatoes (),Vegetables,Wakad,47,42.42,42.15,42.56,9,15,Exam Season,4.4,10,20,104,42.38,Neutral,1000.0,g,2024,7,19,13,Afternoon
Govardhan Paneer (),Dairy,Wakad,109,89.94,88.92,90.25,18,25,Winter,4.7,10,19,98,89.7,Negative,200.0,g,2024,5,9,14,Afternoon
Amul Milk (),Dairy,Kothrud,56,48.01,47.95,47.99,14,22,Holi,1.2,10,18,135,47.98,Negative,1.0,l,2024,10,24,21,Night
Coffee (),Grocery,Baner,200,177.42,178.43,177.59,11,21,Winter,1.1,277,30,173,177.81,Negative,200.0,g,2024,8,5,11,Morning
Salt (),Grocery,Aundh,20,16.91,15.41,15.69,19,20,Diwali,3.9,331,40,52,16.0,Neutral,500.0,g,2024,10,30,9,Morning
Apples (),Fruits,Viman Nagar,157,137.56,136.76,135.71,13,11,Exam Season,3.6,12,38,111,136.68,Negative,1000.0,g,2024,2,13,2,Night
Govardhan Paneer (),Dairy,Aundh,109,101.02,101.92,101.2,7,14,Monsoon,4.5,9,46,98,101.38,Neutral,200.0,g,2024,8,6,4,Night
Rice (),Grocery,Viman Nagar,100,85.15,85.53,84.52,15,26,Exam Season,4.3,185,18,36,85.07,Neutral,1000.0,g,2024,12,4,3,Night
Parle-G,Biscuits,Kothrud,45,36.94,35.88,36.09,19,17,Winter,2.8,85,26,92,36.3,Negative,,Unknown,2024,8,22,10,Morning
Sugar (),Grocery,Aundh,58,47.41,48.17,48.16,18,26,,1.2,275,11,156,47.91,Neutral,1000.0,g,2024,6,18,19,Evening
Saffola Oil (),Grocery,Wakad,176,150.18,149.58,149.75,15,30,Winter,1.3,324,15,158,149.84,Positive,1.0,l,2024,10,30,3,Night
Wheat (),Grocery,Wakad,80,74.55,74.34,74.7,7,16,Exam Season,4.0,290,27,147,74.53,Neutral,1000.0,g,2024,6,24,6,Morning
Dal (),Grocery,Kothrud,90,81.3,80.68,81.06,10,23,,4.6,327,28,30,81.01,Negative,500.0,g,2024,8,30,5,Morning
Apples (),Fruits,Baner,157,137.8,137.46,138.87,12,28,,3.7,14,22,170,138.04,Negative,1000.0,g,2024,12,25,8,Morning
Amul Milk (),Dairy,Wakad,56,50.39,49.25,49.2,11,10,Exam Season,3.1,7,44,134,49.61,Positive,1.0,l,2024,1,27,21,Night
Parle-G,Biscuits,Kothrud,45,39.45,39.38,41.03,11,17,Exam Season,4.7,158,32,39,39.95,Positive,,Unknown,2024,2,23,7,Morning
Bingo Mad Angles,Snacks,Baner,20,15.65,17.34,17.31,17,16,Winter,2.5,142,35,86,16.77,Negative,,Unknown,2024,3,20,20,Evening
Apples (),Fruits,Wakad,157,143.63,143.79,145.27,8,26,Winter,1.5,8,41,196,144.23,Positive,1000.0,g,2024,5,19,4,Night
Parle-G,Biscuits,Viman Nagar,45,41.02,40.65,39.77,11,18,Exam Season,3.0,62,10,108,40.48,Negative,,Unknown,2024,11,8,0,Night
Bananas (),Fruits,Viman Nagar,61,55.83,57.01,56.79,8,23,Winter,4.8,11,24,46,56.54,Neutral,1.0,dozen,2024,9,9,14,Afternoon
Apples (),Fruits,Viman Nagar,157,137.05,137.38,135.68,13,17,,1.7,9,43,83,136.7,Positive,1000.0,g,2024,2,24,10,Morning
Govardhan Paneer (),Dairy,Baner,109,97.74,97.33,96.75,11,23,,4.3,7,21,154,97.27,Negative,200.0,g,2024,2,28,18,Evening
Atta (),Grocery,Kothrud,70,62.06,62.41,62.81,10,21,,4.6,339,30,38,62.43,Negative,1000.0,g,2024,10,31,4,Night
Sugar (),Grocery,Kothrud,58,45.47,47.14,47.23,20,11,,3.2,364,43,87,46.61,Neutral,1000.0,g,2024,3,2,10,Morning
Wheat (),Grocery,Baner,80,69.58,71.38,69.62,12,25,Summer,2.9,317,38,73,70.19,Negative,1000.0,g,2024,11,28,19,Evening
Sugar (),Grocery,Kothrud,58,47.2,45.91,46.05,20,27,Holi,2.5,351,16,139,46.39,Neutral,1000.0,g,2024,7,10,9,Morning
Salt (),Grocery,Aundh,20,18.81,17.49,18.52,9,13,Exam Season,3.9,337,16,80,18.27,Negative,500.0,g,2024,3,28,20,Evening
Coffee (),Grocery,Aundh,200,171.66,172.95,172.34,14,26,Monsoon,3.1,213,30,139,172.32,Negative,200.0,g,2024,5,25,13,Afternoon
Dal (),Grocery,Wakad,90,85.1,85.2,84.86,6,16,Monsoon,4.9,216,50,59,85.05,Positive,500.0,g,2024,11,20,10,Morning
Tea (),Grocery,Aundh,150,126.52,127.46,128.22,15,16,Holi,3.5,283,38,93,127.4,Neutral,250.0,g,2024,6,25,0,Night
Coffee (),Grocery,Wakad,200,184.49,184.31,184.03,8,20,Holi,2.3,245,31,156,184.28,Positive,200.0,g,2024,10,26,19,Evening
Oranges (),Fruits,Viman Nagar,87,80.38,79.72,80.08,8,12,Monsoon,4.1,7,44,77,80.06,Negative,1000.0,g,2024,2,6,17,Evening
Tea (),Grocery,Viman Nagar,150,137.24,138.43,137.25,8,21,Winter,2.2,321,15,145,137.64,Negative,250.0,g,2024,3,11,22,Night
Apples (),Fruits,Wakad,157,143.55,142.31,141.9,9,21,Exam Season,3.1,7,44,137,142.59,Positive,1000.0,g,2024,7,28,12,Afternoon
Tea (),Grocery,Wakad,150,125.32,126.36,126.27,16,29,Exam Season,1.9,218,44,153,125.98,Neutral,250.0,g,2024,11,29,7,Morning
Salt (),Grocery,Kothrud,20,16.19,17.4,17.54,17,25,,2.9,364,29,30,17.04,Positive,500.0,g,2024,1,30,1,Night
Coffee (),Grocery,Wakad,200,171.42,172.47,172.19,14,12,Monsoon,1.2,215,19,143,172.03,Negative,200.0,g,2024,11,15,9,Morning
Atta (),Grocery,Aundh,70,63.29,62.78,62.39,10,21,Holi,1.3,215,35,67,62.82,Negative,1000.0,g,2024,10,8,22,Night
Dal (),Grocery,Aundh,90,82.24,82.42,80.92,9,13,Holi,3.1,206,50,171,81.86,Neutral,500.0,g,2024,3,31,4,Night
Bingo Mad Angles,Snacks,Kothrud,20,18.48,18.62,17.71,8,20,Winter,4.5,127,26,55,18.27,Positive,,Unknown,2024,8,31,11,Morning
Bingo Mad Angles,Snacks,Viman Nagar,20,18.75,18.38,18.59,10,19,Diwali,1.9,52,48,141,18.57,Positive,,Unknown,2024,4,3,17,Evening
Govardhan Paneer (),Dairy,Viman Nagar,109,102.74,103.19,102.02,6,18,Holi,4.6,13,31,139,102.65,Neutral,200.0,g,2024,9,16,0,Night
Coffee (),Grocery,Kothrud,200,189.2,190.61,189.49,5,25,,1.9,350,27,54,189.77,Negative,200.0,g,2024,10,30,6,Morning
Govardhan Paneer (),Dairy,Wakad,109,90.68,91.21,90.81,17,11,Diwali,3.4,15,16,164,90.9,Neutral,200.0,g,2024,2,6,20,Evening
Wheat (),Grocery,Aundh,80,66.23,66.04,64.68,18,30,Summer,4.2,326,43,53,65.65,Negative,1000.0,g,2024,12,31,3,Night
Apples (),Fruits,Viman Nagar,157,148.58,148.51,149.41,5,20,Monsoon,1.4,7,39,104,148.83,Negative,1000.0,g,2024,5,19,6,Morning
Amul Milk (),Dairy,Kothrud,56,48.61,47.82,48.64,13,30,Exam Season,2.1,8,45,186,48.36,Positive,1.0,l,2024,9,8,18,Evening
Parle-G,Biscuits,Viman Nagar,45,38.36,37.14,37.8,16,12,Winter,2.3,128,24,106,37.77,Neutral,,Unknown,2024,11,17,19,Evening
Tomatoes (),Vegetables,Baner,47,43.99,43.34,43.7,7,15,Monsoon,4.0,7,41,131,43.68,Positive,1000.0,g,2024,5,10,21,Night
Bingo Mad Angles,Snacks,Kothrud,20,18.92,17.65,17.22,10,28,Winter,2.2,173,28,172,17.93,Neutral,,Unknown,2024,7,28,0,Night
Atta (),Grocery,Viman Nagar,70,64.5,64.28,65.3,7,22,Diwali,4.4,363,31,168,64.69,Positive,1000.0,g,2024,5,17,9,Morning
Apples (),Fruits,Aundh,157,145.13,144.91,145.19,8,19,Holi,3.5,12,24,138,145.08,Positive,1000.0,g,2024,11,16,20,Evening
Saffola Oil (),Grocery,Aundh,176,160.5,159.71,160.15,9,17,Diwali,2.0,292,23,61,160.12,Positive,1.0,l,2024,1,5,19,Evening
Tomatoes (),Vegetables,Aundh,47,38.28,37.43,37.7,20,28,,1.8,9,47,150,37.8,Positive,1000.0,g,2024,8,31,14,Afternoon
Apples (),Fruits,Kothrud,157,132.49,131.41,131.62,16,17,Monsoon,2.3,8,18,101,131.84,Negative,1000.0,g,2024,11,29,23,Night
Tea (),Grocery,Wakad,150,135.69,137.33,137.47,9,25,Diwali,3.1,334,24,114,136.83,Positive,250.0,g,2024,10,5,16,Afternoon
Oranges (),Fruits,Aundh,87,75.84,74.8,75.93,13,25,Holi,3.4,9,11,155,75.52,Positive,1000.0,g,2024,6,23,4,Night
Oranges (),Fruits,Baner,87,70.34,68.9,69.96,20,12,Summer,4.8,11,11,194,69.73,Negative,1000.0,g,2024,8,20,3,Night
Govardhan Paneer (),Dairy,Viman Nagar,109,100.16,98.62,99.09,9,27,Monsoon,3.8,10,24,170,99.29,Negative,200.0,g,2024,11,6,1,Night
Oreo Biscuit,Biscuits,Viman Nagar,99,84.88,85.09,83.26,15,21,Exam Season,3.3,138,14,150,84.41,Positive,,Unknown,2024,6,9,16,Afternoon
Atta (),Grocery,Aundh,70,63.67,62.06,63.86,10,13,Exam Season,2.3,283,46,146,63.2,Positive,1000.0,g,2024,11,8,14,Afternoon
Bananas (),Fruits,Viman Nagar,61,48.08,48.49,47.99,20,21,Monsoon,1.7,11,41,65,48.19,Negative,1.0,dozen,2024,3,12,16,Afternoon
Coffee (),Grocery,Viman Nagar,200,175.7,176.29,175.16,12,24,Exam Season,4.0,245,11,167,175.72,Neutral,200.0,g,2024,1,24,15,Afternoon
Oranges (),Fruits,Baner,87,72.27,72.08,74.05,16,10,Monsoon,1.0,11,11,157,72.8,Negative,1000.0,g,2024,8,6,18,Evening
Amul Milk (),Dairy,Baner,56,50.11,49.84,49.91,11,21,Exam Season,1.4,7,48,144,49.95,Neutral,1.0,l,2024,8,10,21,Night
Atta (),Grocery,Viman Nagar,70,63.01,63.63,62.89,10,29,Monsoon,1.2,210,29,104,63.18,Neutral,1000.0,g,2024,2,11,20,Evening
Amul Milk (),Dairy,Aundh,56,51.2,50.4,50.61,10,29,Diwali,4.7,15,45,145,50.74,Negative,1.0,l,2024,10,31,11,Morning
Bingo Mad Angles,Snacks,Baner,20,18.28,18.33,18.08,7,25,Monsoon,1.8,40,32,48,18.23,Negative,,Unknown,2024,12,21,23,Night
Govardhan Paneer (),Dairy,Wakad,109,101.7,101.01,101.42,7,28,,3.8,11,44,96,101.38,Neutral,200.0,g,2024,4,19,17,Evening
Parle-G,Biscuits,Aundh,45,39.64,40.3,39.86,11,22,Holi,1.3,122,16,99,39.93,Positive,,Unknown,2024,8,5,23,Night
Govardhan Paneer (),Dairy,Wakad,109,93.74,94.31,93.31,14,11,Holi,3.1,8,15,94,93.79,Positive,200.0,g,2024,12,12,10,Morning
Oranges (),Fruits,Aundh,87,74.43,74.02,73.04,15,19,Monsoon,2.5,7,37,168,73.83,Negative,1000.0,g,2024,7,22,11,Morning
Atta (),Grocery,Wakad,70,66.62,65.0,66.7,6,17,Summer,3.8,362,23,150,66.11,Positive,1000.0,g,2024,3,21,6,Morning
Sugar (),Grocery,Baner,58,52.42,50.85,51.2,11,17,Holi,3.6,225,34,93,51.49,Negative,1000.0,g,2024,5,24,9,Morning
Apples (),Fruits,Baner,157,143.07,143.11,142.39,9,23,Exam Season,3.7,11,23,191,142.86,Neutral,1000.0,g,2024,10,13,1,Night
Coffee (),Grocery,Viman Nagar,200,189.83,189.83,189.56,5,16,Monsoon,4.3,244,48,51,189.74,Negative,200.0,g,2024,8,31,7,Morning
Apples (),Fruits,Baner,157,126.43,127.55,126.31,19,13,Monsoon,1.5,8,21,159,126.76,Negative,1000.0,g,2024,5,7,3,Night
Atta (),Grocery,Kothrud,70,57.67,57.67,58.81,17,18,Monsoon,1.4,281,22,45,58.05,Positive,1000.0,g,2024,8,3,10,Morning
Govardhan Paneer (),Dairy,Aundh,109,102.4,101.68,101.92,6,22,Exam Season,1.7,6,25,137,102.0,Neutral,200.0,g,2024,8,26,23,Night
Amul Milk (),Dairy,Viman Nagar,56,50.84,51.5,51.29,9,26,Monsoon,4.1,8,30,42,51.21,Positive,1.0,l,2024,8,8,21,Night
Sugar (),Grocery,Aundh,58,51.3,50.16,49.86,13,30,Summer,1.2,219,28,158,50.44,Negative,1000.0,g,2024,1,25,17,Evening
Tea (),Grocery,Aundh,150,133.17,133.94,132.55,11,24,Monsoon,1.3,334,43,117,133.22,Positive,250.0,g,2024,8,4,6,Morning
Atta (),Grocery,Aundh,70,58.61,59.87,59.32,15,27,Diwali,1.1,223,30,125,59.27,Neutral,1000.0,g,2024,1,15,22,Night
Dal (),Grocery,Baner,90,78.21,78.21,78.32,12,22,Monsoon,4.1,237,50,60,78.25,Positive,500.0,g,2024,8,6,21,Night
Oranges (),Fruits,Baner,87,70.47,69.89,69.16,20,29,,2.5,10,41,198,69.84,Neutral,1000.0,g,2024,4,7,2,Night
Amul Milk (),Dairy,Viman Nagar,56,50.87,51.72,50.41,9,19,Holi,3.5,11,26,68,51.0,Positive,1.0,l,2024,5,22,22,Night
Sugar (),Grocery,Viman Nagar,58,49.17,49.8,50.3,14,27,Winter,4.4,212,50,141,49.76,Negative,1000.0,g,2024,3,21,19,Evening
Apples (),Fruits,Viman Nagar,157,127.64,127.06,126.95,19,21,Holi,2.4,13,18,154,127.22,Neutral,1000.0,g,2024,3,20,23,Night
Tea (),Grocery,Aundh,150,133.64,134.4,133.96,11,29,Monsoon,2.5,320,36,132,134.0,Negative,250.0,g,2024,9,7,2,Night
Tomatoes (),Vegetables,Aundh,47,42.71,42.86,42.67,9,29,Holi,2.6,6,31,173,42.75,Positive,1000.0,g,2024,12,11,14,Afternoon
Atta (),Grocery,Viman Nagar,70,56.76,57.29,57.79,18,22,Diwali,3.3,249,46,86,57.28,Positive,1000.0,g,2024,9,6,0,Night
Apples (),Fruits,Wakad,157,139.03,139.36,139.22,11,14,Winter,4.1,12,49,185,139.2,Negative,1000.0,g,2024,10,12,13,Afternoon
Saffola Oil (),Grocery,Baner,176,162.85,162.7,164.4,7,11,Winter,2.3,260,32,84,163.32,Positive,1.0,l,2024,10,15,18,Evening
Dal (),Grocery,Aundh,90,83.43,84.52,83.87,7,24,Summer,2.9,224,28,106,83.94,Neutral,500.0,g,2024,2,9,10,Morning
Oranges (),Fruits,Aundh,87,78.13,78.36,78.54,10,15,Exam Season,3.2,14,27,91,78.34,Neutral,1000.0,g,2024,2,14,0,Night
Dal (),Grocery,Viman Nagar,90,83.87,84.36,84.36,6,15,,4.1,356,33,146,84.2,Neutral,500.0,g,2024,8,15,3,Night
Atta (),Grocery,Viman Nagar,70,56.89,56.13,56.77,20,12,,4.5,225,18,178,56.6,Positive,1000.0,g,2024,4,26,13,Afternoon
Apples (),Fruits,Aundh,157,140.65,139.37,140.15,11,12,,2.4,7,49,156,140.06,Negative,1000.0,g,2024,3,6,15,Afternoon
Amul Milk (),Dairy,Kothrud,56,49.68,49.53,47.77,13,20,Exam Season,4.6,15,25,104,48.99,Positive,1.0,l,2024,4,12,4,Night
Bingo Mad Angles,Snacks,Viman Nagar,20,18.35,19.79,19.11,6,12,Summer,2.3,63,49,52,19.08,Positive,,Unknown,2024,10,12,7,Morning
Sugar (),Grocery,Kothrud,58,52.43,51.38,50.69,11,18,Holi,3.8,273,42,151,51.5,Negative,1000.0,g,2024,6,7,3,Night
Parle-G,Biscuits,Aundh,45,39.25,39.13,38.68,13,24,Summer,4.7,163,30,161,39.02,Positive,,Unknown,2024,12,13,21,Night
Wheat (),Grocery,Baner,80,73.41,72.01,71.95,9,21,Winter,1.3,240,15,35,72.46,Neutral,1000.0,g,2024,1,4,17,Evening
Sugar (),Grocery,Kothrud,58,53.25,54.19,54.68,7,24,Winter,3.5,350,16,173,54.04,Negative,1000.0,g,2024,2,17,8,Morning
Saffola Oil (),Grocery,Aundh,176,163.05,164.12,162.86,7,23,Exam Season,4.2,233,13,197,163.34,Positive,1.0,l,2024,1,31,20,Evening
Apples (),Fruits,Kothrud,157,139.68,139.12,140.71,11,29,Monsoon,3.8,11,47,63,139.84,Negative,1000.0,g,2024,6,20,20,Evening
Atta (),Grocery,Wakad,70,64.45,64.5,64.39,7,27,,3.3,359,17,197,64.45,Positive,1000.0,g,2024,10,22,19,Evening
Rice (),Grocery,Aundh,100,85.51,84.46,84.79,15,28,Exam Season,2.2,309,50,124,84.92,Negative,1000.0,g,2024,3,25,18,Evening
Bananas (),Fruits,Kothrud,61,51.71,51.3,51.55,16,18,Winter,2.1,8,13,30,51.52,Positive,1.0,dozen,2024,7,10,19,Evening
Amul Milk (),Dairy,Baner,56,45.08,46.45,46.35,18,10,Diwali,4.9,6,30,181,45.96,Neutral,1.0,l,2024,10,26,13,Afternoon
Amul Milk (),Dairy,Wakad,56,52.22,52.53,51.72,7,21,Monsoon,4.0,10,41,118,52.16,Negative,1.0,l,2024,10,23,11,Morning
Govardhan Paneer (),Dairy,Kothrud,109,96.47,96.35,97.39,11,23,Diwali,2.9,10,35,154,96.74,Negative,200.0,g,2024,12,3,8,Morning
Bingo Mad Angles,Snacks,Viman Nagar,20,18.68,17.97,19.1,9,14,Exam Season,4.2,68,35,129,18.58,Negative,,Unknown,2024,1,6,10,Morning
Bananas (),Fruits,Aundh,61,54.33,53.93,54.84,10,18,Exam Season,2.3,14,35,76,54.37,Positive,1.0,dozen,2024,4,27,21,Night
Oranges (),Fruits,Kothrud,87,77.4,77.88,77.3,11,15,Exam Season,2.9,7,32,60,77.53,Neutral,1000.0,g,2024,1,26,23,Night
Parle-G,Biscuits,Viman Nagar,45,37.98,38.74,38.69,14,16,Diwali,2.7,99,50,91,38.47,Positive,,Unknown,2024,5,11,11,Morning
Tomatoes (),Vegetables,Wakad,47,43.44,43.3,42.92,8,21,Holi,4.2,7,46,168,43.22,Positive,1000.0,g,2024,1,25,12,Afternoon
Sugar (),Grocery,Viman Nagar,58,47.05,48.45,47.94,18,20,Summer,3.5,251,45,133,47.81,Negative,1000.0,g,2024,8,12,4,Night
Parle-G,Biscuits,Aundh,45,38.81,38.39,39.07,15,28,Exam Season,3.4,122,46,167,38.76,Positive,,Unknown,2024,12,11,20,Evening
Sugar (),Grocery,Kothrud,58,53.13,52.66,53.0,8,26,Diwali,3.0,248,14,130,52.93,Neutral,1000.0,g,2024,5,31,7,Morning
Salt (),Grocery,Kothrud,20,17.93,18.76,18.15,9,17,Monsoon,3.5,271,49,173,18.28,Negative,500.0,g,2024,8,6,5,Morning
Dal (),Grocery,Kothrud,90,72.97,72.21,72.07,20,30,Summer,1.8,334,17,93,72.42,Neutral,500.0,g,2024,10,11,19,Evening
Saffola Oil (),Grocery,Aundh,176,150.86,151.11,151.76,14,10,Diwali,2.2,216,28,35,151.24,Positive,1.0,l,2024,1,12,4,Night
Bananas (),Fruits,Baner,61,49.96,50.4,49.3,19,22,Summer,3.2,14,30,58,49.89,Neutral,1.0,dozen,2024,12,29,20,Evening
Coffee (),Grocery,Viman Nagar,200,178.41,177.91,177.33,11,14,Summer,2.3,211,13,97,177.88,Positive,200.0,g,2024,8,2,14,Afternoon
Govardhan Paneer (),Dairy,Kothrud,109,93.31,92.4,91.7,15,23,Exam Season,3.6,7,30,187,92.47,Negative,200.0,g,2024,11,20,16,Afternoon
Saffola Oil (),Grocery,Kothrud,176,166.21,164.55,165.87,6,14,Summer,3.0,215,19,46,165.54,Positive,1.0,l,2024,7,22,0,Night
Atta (),Grocery,Aundh,70,59.74,58.48,58.63,16,12,,3.0,195,43,150,58.95,Neutral,1000.0,g,2024,9,6,6,Morning
Apples (),Fruits,Aundh,157,146.64,145.91,145.24,7,18,Diwali,1.9,7,13,178,145.93,Positive,1000.0,g,2024,11,23,8,Morning
Tea (),Grocery,Viman Nagar,150,140.44,140.47,140.31,6,14,,3.0,279,50,152,140.41,Negative,250.0,g,2024,1,8,11,Morning
Oreo Biscuit,Biscuits,Kothrud,99,94.39,94.44,94.15,5,11,Holi,1.8,86,24,174,94.33,Positive,,Unknown,2024,7,9,20,Evening
Sugar (),Grocery,Kothrud,58,54.1,53.68,54.74,7,15,Monsoon,2.6,317,10,171,54.17,Positive,1000.0,g,2024,10,16,0,Night
